date,source,title,text
2026-06-14 12:31:38,ТСН,"Трамп святкує 80-річчя: бої у клітках, тисячі глядачів і хвиля критики у США",На Південній галявині Білого дому готують видовищне шоу з боями у клітках на честь дня народження Дональда Трампа. Захід викликає суперечливу реакцію в США.
2026-06-14 12:30:24,ТСН,"Цю рибу ми чомусь недооцінюємо: вона недорога, смачна та корисніша за лосось і скумбрію","Така риба багата на омега-3 жирні кислоти, вітамін D, селен і вітаміни групи B. Саме тому дієтологи радять частіше включати її до раціону, адже за користю вона цілком може конкурувати з дорожчими видами."
2026-06-14 12:26:41,ТСН,"""Рідко надають правдиву інформацію"": Зеленський показав документи, які кладуть на стіл Путіну",Президент України розкрив деталі розвідувальних доповідей про Росію.
2026-06-14 12:26:35,ТСН,Рікі Мартін публічно звернувся до українки після її щемливого зізнання про його музику під час війни,Артист висловив українцям слова підтримки та заговорив про концерт в Україні.
2026-06-14 12:00:42,ТСН,Археологи знайшли найдавніший сир у світі: що про нього відомо,"Археологи виявили залишки молока на стародавніх горщиках, знайдених у багатьох регіонах світу."
2026-06-14 11:52:20,ТСН,Портников назвав конфлікт України та Польщі сюрреалістичним: що відбувається між Києвом і Варшавою,"Конфлікт України та Польщі через підрозділ ЗСУ імені героїв УПА вийшов за межі звичайної дипломатичної суперечки. Журналіст Віталій Портников пояснив, чому ситуація навколо ордена Білого Орла та Зеленського стала «сюрреалістичною»."
2026-06-14 11:15:45,ТСН,Суперечка Портникова з Федоренком: що сталося та чому сварка розділила Мережу,"Конфлікт між журналістом Віталієм Портниковим та співзасновником DOU Юрієм Федоренком під час DOU Day став однією з найбільш обговорюваних тем у соцмережах. З’ясовуємо, через що виникла суперечка та чому думки українців розділилися."
2026-06-14 11:15:19,ТСН,"Переможець ""Х-Фактора"" Олександр Порядинський вступив до лав ЗСУ і показав фото зі служби",Артист наразі проходить базову загальновійськову підготовку.
2026-06-14 11:10:49,ТСН,Росіяни вдарили по великому обласному центру: є потерпілі,Внаслідок російської атаки по Дніпру поранень зазнали семеро людей.
2026-06-14 11:10:21,ТСН,"Чому не можна мити голову в п’ятницю та неділю: як це впливає на здоров’я, гроші та красу","Вірити в ці прикмети чи ні — особиста справа кожного, але головне правило залишається незмінним: догляд за волоссям має бути регулярним і комфортним саме для вас."
2026-06-14 11:10:04,ТСН,Секрет бездоганної шкіри кореянок: вони роблять це щодня — простий ритуал,Бездоганна шкіра кореянок — не генетика: експерти назвали їхній головний б’юті-секрет.
2026-06-14 11:07:20,ТСН,"У РФ горить нафтобаза після атаки дронів: Зеленський сказав, хто це зробив",СБУ уразила за більш ніж 700 км від українського кордону нафтовий об’єкт у Ярославській області РФ.
2026-06-14 10:57:52,ТСН,Мочанов закликав змінити підготовку водіїв після смертельної ДТП у Києві,"Автогонщик вважає, що нинішня підготовка водіїв відбувається на неналежному рівні."
2026-06-14 10:39:08,ТСН,Пробито салон: літак із 267 людьми потрапив в аварію після приземлення в Анталії — фото,"Удар пошкодив фюзеляж, зірвав багажну полицю та спричинив спрацювання кисневих масок у салоні."
2026-06-14 10:34:12,ТСН,"Рух на пункті ""Шегині-Медика"": що слід врахувати подорожувальникам",Подорожувальникам до Польщі слід враховувати можливі затримки на кордоні «Шегині–Медика».
2026-06-14 10:25:06,ТСН,"Відомий блогер після моторошної ДТП на спорткарі вперше вийшов на зв'язок і розкрив, що сталося","Сергій Данилець потрапив в аварію разом із 5-річним сином. Блогер пояснив, чому сталась ДТП."
2026-06-14 10:14:02,ТСН,"""Успішна операція"": Британія перехопила танкер ""тіньового флоту"" Росії",Британські військові перехопили російський танкер тіньового флоту в Ла-Манші. Операція стала черговим ударом по ресурсах РФ для війни проти України.
2026-06-14 10:10:19,ТСН,"Як відлякати голубів з балкона: найефективніші методи, які не шкодять птахам",Такі способи відлякування не завдають шкоди птахам і водночас допомагають надовго зберегти чистоту та комфорт.
2026-06-14 10:03:58,ТСН,"Путін несподівано збільшив чисельність армії РФ: ISW пояснює, що стоїть за новим указом",Путін продовжує нарощувати чисельність своєї армії.
2026-06-14 10:00:00,ТСН,Кого зі студентів можуть відрахувати через мобілізацію: що відомо,Чому почали перевіряти студентів та кого можуть відрахувати.
2026-06-14 09:56:19,ТСН,"Смертельна ДТП на Львівщині: загинула жінка, є поранені діти","У Шептицькому на Львівщині сталася смертельна ДТП за участю двох автомобілів. Внаслідок зіткнення загинула 58-річна водійка, ще четверо людей, серед яких двоє дітей, потрапили до лікарні."
2026-06-14 09:51:23,ТСН,"Командування Чорноморського флоту РФ планує повністю втекти з Криму — ""Атеш""","Через постійні та успішні удари Сил оборони України по військових об’єктах у Севастополі, ворог змушений переміщувати органи управління та документацію."
2026-06-14 09:37:16,ТСН,Росія втрачає головну перевагу у війні: аналітики про виснаження ворога,"Росія почала втрачати одну з головних переваг у війні проти України — чисельність війська. Попри мільйонні виплати та пільги, набір контрактників до армії РФ скорочується, а Кремль стикається з новими проблемами."
2026-06-14 09:19:30,ТСН,Понад половина американських F-35 непридатні до польотів: на що вони здатні,"Причинами падіння боєготовності стали затримки з оновленням програмного забезпечення для літаків, дефіцит запасних частин та проблеми з корозією."
2026-06-14 09:17:56,ТСН,Трамп заявив про швидке укладення угоди з Іраном: що кажуть у Тегерані,Іранська сторона прокоментувала заяви лідера США Трампа про «швидку» угоду.
2026-06-14 08:50:07,ТСН,В Україні податкова почне шукати приховані доходи по-новому,Одним із головних нововведень стане запуск системи автоматичного аналізу фінансових потоків.
2026-06-14 08:41:29,ТСН,"Сім домашніх справ, які не варто робити ввечері: поради від експертів","Експерти назвали домашні справи, яких краще уникати ввечері."
2026-06-14 08:29:49,ТСН,"""Питання закрите"": у КНДР відмовилися обговорювати відмову від ядерної зброї","Розширення ядерного потенціалу КНДР та можливостей самооборони на його основі є «незворотними», заявили у Пхеньяні."
2026-06-14 08:01:40,ТСН,Саміт G7: Зеленський зустрінеться з Трампом — що обговорять,Українське питання лідери планують розглянути під час першої робочої сесії.
2026-06-14 08:00:00,ТСН,Заброньовані можуть втрати відстрочку в одній області України: що відомо,"В Україні триває загальна мобілізація та воєнний стан, а правила бронювання працівників для підприємств періодично змінюються."
